CustomerID,Recency,Frequency,Monetary,K_Cluster
12346.0,326,1,77183.6,2
12347.0,2,182,4310.0,1
12348.0,75,31,1797.24,2
12349.0,19,73,1757.55,2
12350.0,310,17,334.4,0
12352.0,36,85,2506.04,2
12353.0,204,4,89.0,0
12354.0,232,58,1079.4,2
12355.0,214,13,459.4,0
12356.0,23,59,2811.43,2
12357.0,33,131,6207.67,1
12358.0,2,19,1168.06,1
12359.0,58,248,6372.58,1
12360.0,52,129,2662.06,2
12361.0,287,10,189.9,0
12362.0,3,266,5226.23,1
12363.0,110,23,552.0,0
12364.0,8,85,1313.1,1
12365.0,291,22,641.38,0
12367.0,4,11,168.9,0
12370.0,51,167,3545.69,1
12371.0,45,63,1887.96,2
12372.0,72,52,1298.04,2
12373.0,311,14,364.6,0
12374.0,25,33,742.9300000000001,2
12375.0,11,17,457.5,2
12377.0,315,77,1628.12,2
12378.0,130,219,4008.62,2
12379.0,82,40,852.24,2
12380.0,22,104,2724.81,1
12381.0,5,87,1845.31,1
12383.0,185,99,1850.56,2
12384.0,29,27,585.27,2
12386.0,338,10,401.9,0
12388.0,16,100,2780.66,1
12390.0,80,32,549.84,2
12391.0,22,100,460.89,2
12393.0,72,64,1582.6000000000001,2
12394.0,64,27,1272.48,2
12395.0,19,156,3018.63,1
12397.0,36,126,2409.9,2
12398.0,46,85,1635.6599999999999,2
12399.0,119,59,1108.65,2
12401.0,303,5,84.3,0
12402.0,323,11,225.6,0
12403.0,50,5,427.7,0
12405.0,149,54,1710.39,2
12406.0,22,105,3415.3,1
12407.0,50,77,1708.1200000000001,2
12408.0,33,105,2888.55,1
12409.0,79,109,11072.67,1
12410.0,309,26,693.3299999999999,0
12412.0,75,61,1226.88,2
12413.0,67,38,758.1,2
12414.0,217,18,562.41,0
12415.0,24,714,124914.53,1
12417.0,3,192,3649.1,1
12418.0,113,34,668.58,2
12420.0,64,29,600.39,2
12421.0,16,45,807.04,2
12422.0,96,39,803.5600000000001,2
12423.0,1,125,1859.31,1
12424.0,163,30,1760.96,2
12425.0,78,36,777.2,2
12426.0,195,30,582.73,0
12427.0,22,31,825.8,2
12428.0,26,294,7956.46,1
12429.0,9,97,3750.4,1
12430.0,43,11,256.4,0
12431.0,36,235,6487.45,1
12432.0,43,108,5059.32,1
12433.0,1,420,13375.87,1
12434.0,85,50,806.14,2
12435.0,80,36,7829.89,2
12436.0,100,16,509.01,0
12437.0,2,199,4951.41,1
12438.0,14,98,2906.85,1
12441.0,367,11,173.55,0
12442.0,3,12,172.06,2
12444.0,21,176,5005.46,1
12445.0,22,4,133.4,0
12446.0,58,57,1002.3100000000001,2
12447.0,243,26,476.49,0
12448.0,44,22,449.45,2
12449.0,22,191,4067.29,1
12450.0,156,8,197.88,0
12451.0,11,354,9035.52,1
12452.0,17,22,430.57,2
12453.0,134,43,707.09,2
12454.0,56,15,3528.34,2
12455.0,73,90,2466.86,2
12456.0,44,125,3181.04,2
12457.0,66,62,2363.23,2
12458.0,71,38,947.4,2
12461.0,94,35,826.88,2
12462.0,19,62,1189.59,2
12463.0,53,83,1344.78,2
12464.0,10,29,1212.05,2
12465.0,17,47,742.1899999999999,2
12468.0,188,38,729.5400000000001,2
12471.0,2,460,19824.05,1
12472.0,32,339,6572.11,1
12473.0,29,168,3938.5499999999997,1
12474.0,17,424,7375.79,1
12475.0,54,36,723.38,2
12476.0,16,233,6816.42,1
12477.0,23,300,13219.74,1
12478.0,4,36,680.99,2
12479.0,11,31,527.2,2
12480.0,28,154,3281.63,1
